Data do Sistema 2024/10/24 15:27

data do primeiro registro de venda
01/01/2023

data do ultimo registro de venda
31/01/2023

total de itens diferentes vendidos: 66

as dez linhas do arquivo são:
id,produto,quantidade,preço,data
1,camiseta,2,29.90,01/01/2023
2,calca,5,80.00,02/01/2023
3,sapato,3,100.00,03/01/2023
4,meia,20,5.00,04/01/2023
5,cinto,8,15.00,05/01/2023
6,camisa,7,40.00,06/01/2023
7,bermuda,6,50.00,07/01/2023
8,tênis,4,120.00,08/01/2023
9,bone,12,10.00,09/01/2023
10,casaco,2,150.00,10/01/2023
