Data do Sistema 2024/10/27 15:27

data do primeiro registro de venda
31/01/2023

data do ultimo registro de venda
30/01/2023

total de itens diferentes vendidos: 65

as dez linhas do arquivo são:
id,produto,quantidade,preço,data
31,furadeira elétrica,2,200.00,31/01/2023
32,jogo de panelas antiaderente,5,120.00,01/02/2023
33,furadeira elétrica,4,80.00,02/02/2023
34,sanduicheira elétrica,6,40.00,03/02/2023
35,mixer de alimentos,7,50.00,04/02/2023
36,batedeira planetária,2,300.00,05/02/2023
52,guitarra elétrica fender,3,2999.00,20/02/2023
53,amplificador de guitarra,4,799.00,21/02/2023
54,pedaleira preta,5,499.00,22/02/2023
55,cabo para instrumento ninja,10,59.00,23/02/2023
